id,name,type,park,location,surface_material,grandstand,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
38843669,Brookline Memorial Park Dek Hockey Court 1,Dek Hockey,Brookline Memorial Park,,Composite,0,f,Brookline,4,32,42003320600,5,32,6,4-26,40.39096335,-80.00751006
2001022188,Bud Hammer Basketball Court 1,Basketball (Full),Bud Hammer Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42141381,-79.94671008
660645526,Bud Hammer Park Hockey Court 1,Street Hockey,Bud Hammer Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42123975,-79.94633529
538525195,Burgwin Basketball Court 1,Basketball (Full),Burgwin Park,,Asphalt,0,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4047244,-79.93649207
668922814,Burgwin Park Hockey Court 1,Hockey,Burgwin Park,,Asphalt,0,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40467527,-79.93601738
24766495,Burgwin Park Hockey Court 2,Hockey,Burgwin Park,,Concrete,0,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40462283,-79.93584818
1393659895,Burgwin Park Tennis Court 1,Tennis,Burgwin Park,,Asphalt,0,f,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40456403,-79.93566055
1270535022,Chadwick Park Basketball Court 1,Basketball (Full),Chadwick Park,,Asphalt,0,f,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46513826,-79.89111999
2002215349,Cobden Street Park Basketball Court 1,Basketball (Full),Cobden Street Park,,Asphalt,0,f,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41941689,-79.96829734
1709561891,Cowley Park Basketball Court 1,Basketball (Full),Cowley Park,,Asphalt,0,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45869953,-79.98869669
444477960,Cowley Park Basketball Court 2,Basketball (Full),Cowley Park,,Asphalt,0,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45847197,-79.98862487
1532797363,Cross and Strauss Park Basketball Court 1,Basketball (Half),Cross and Strauss Park,,Asphalt,0,f,Perry South,6,26,42003261400,1,26,1,1-12,40.46498348,-80.02003575
1421498868,Dallas Park Basketball Court 1,Basketball (Full),Dallas Park,,Asphalt,0,f,Homewood West,9,12,42003120700,2,12,5,3-17,40.45785904,-79.90469611
276532619,Davis Handball Court 1,General Sports,Davis Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43251521,-79.92548298
2021962274,Davis Park Basketball Court 1,Basketball (Full),Davis Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.4324397,-79.92503008
187280011,Davis Park Basketball Court 2,Basketball (Full),Davis Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43226229,-79.92501966
163199012,Davis Park Hockey Court 1,Hockey,Davis Park,,Concrete,0,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43229753,-79.92525714
202591933,Davis Park Tennis Court 1,Tennis,Davis Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43229945,-79.92546672
845804546,Denny Park Basketball Court 1,Basketball (Half),Denny Park,,Asphalt,0,f,Strip District,7,6,42003020300,6,6,2,3-2,40.45783874,-79.97322198
766221558,Dinan Park Hockey Court 1,Hockey,Dinan Park,,Asphalt,0,f,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48432254,-79.93373258
1530430183,Dinan Park Tennis Court 1,Tennis,Dinan Park,,Asphalt,0,f,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48438389,-79.93398826
845657410,Dunbar Park Basketball Court 1,Basketball (Full),Dunbar Park,,Asphalt,0,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43911676,-80.05186944
1530088063,Duncan Park Hockey Court 1,Street Hockey,Duncan Park,,Asphalt,0,f,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48024716,-79.94821982
2034859154,East Carnegie Park Basketball Court 1,Basketball (Full),East Carnegie Park,,Asphalt,0,f,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41450298,-80.07488249
337401317,East Carnegie Park Sports Court 1,General Sports,East Carnegie Park,,Asphalt,0,f,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41471163,-80.07477594
1629925162,East Hills Park Basketball Court 1,Basketball (Full),East Hills Park,,Asphalt,2,f,East Hills,9,13,42003130600,2,13,5,3-19,40.45347174,-79.87148334
1349704205,East Hills Park Basketball Court 2,Basketball (Full),East Hills Park,,Asphalt,0,f,East Hills,9,13,42003130600,2,13,5,3-19,40.45346324,-79.87128605
2009342838,Eleanor Street Park Basketball Court 1,Basketball (Half),Eleanor Street Park,,Asphalt,0,f,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42138106,-79.9729645
1225963982,Emerald View Park Eileen Mc Basketball Court 1,Basketball (Half),Emerald View Park - Eileen McCoy Park,,Asphalt,0,f,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43845602,-80.02452947
1047470806,Emerald View Park Eileen McCoy Hockey Court 1,Hockey,Emerald View Park - Eileen McCoy Park,,Asphalt,0,f,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43835161,-80.0243366
1302113944,Emerald View Park Grandview Basketball Court 1,Basketball (Full),Emerald View Park - Grandview Park,,Asphalt,0,f,Allentown,3,18,42003180300,5,18,3,4-5,40.42451293,-79.99375355
1535886656,Emerald View Park Mt Wash Basketball Court 1,Basketball (Full),Emerald View Park - Mt. Washington Park,,Asphalt,0,f,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42459778,-80.01370783
55464097,Bill Massucci Basketball Court,Basketball (Full),Emerald View Park - Olympia Park,,Asphalt,0,f,Mount Washington,2,19,42003190300,5,19,3,4-1,40.4318285,-80.01770851
1966507491,Emerald View Park Olympia Hockey Court 1,Hockey,Emerald View Park - Olympia Park,,Asphalt,0,f,Mount Washington,2,19,42003190300,5,19,3,4-1,40.43166233,-80.01777613
319411623,Enright Park Basketball Court 1,Basketball (Full),Enright Park,,Asphalt,0,f,East Liberty,9,8,42003111500,2,8,5,3-23,40.46186763,-79.9297077
1539344535,Enright Park Basketball Court,Basketball (Full),Enright Park,,Asphalt,0,f,East Liberty,9,8,42003111500,2,8,5,3-23,40.46149315,-79.92993788
340124698,Fairywood Park Basketball Court 1,Basketball (Full),Fairywood Park,,Asphalt,0,f,Fairywood,2,28,42003563000,5,28,6,1-16,40.44913751,-80.07997541
194658440,Fairywood Park Basketball Court 2,Basketball (Full),Fairywood Park,,Asphalt,0,f,Fairywood,2,28,42003563000,5,28,6,1-16,40.44899013,-80.07976864
1535096593,Fifty-Seventh Street Park Basketball Court 1,Basketball (Full),Fifty-Seventh Street Park,,Asphalt,0,f,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48594969,-79.94691045
999534439,Fineview Park Basketball Court 1,Basketball (Half),Fineview Park,,,0,f,Fineview,1,25,42003250900,1,25,1,1-10,40.46179238,-80.00416581
1573467860,Fineview Park Tennis Court 1,Pickleball,Fineview Park,,Asphalt,0,f,Fineview,1,25,42003250900,1,25,1,1-10,40.46160774,-80.00410215
1822485178,Fort Pitt Park Basketball Court 1,Basketball (Full),Fort Pitt Park,,Asphalt,0,f,Garfield,9,10,42003101600,2,10,5,3-4,40.47031705,-79.94163364
1631462223,Fort Pitt Park Tennis Court 1,Tennis,Fort Pitt Park,,Asphalt,0,f,Garfield,9,10,42003101600,2,10,5,3-4,40.47026611,-79.94182496
2130325983,Four Mile Run Basketball Court 1,Basketball (Full),Four Mile Run Park,Under Pkwy Bridge. Invisible from the air.,Asphalt,0,f,Greenfield,3,4,42003151600,3,4,4,2-12,40.42785893,-79.94926816
1019251434,Four Mile Run Park Hockey Court 1,Street Hockey,Four Mile Run Park,,Asphalt,0,f,Greenfield,5,14,42003151600,3,14,4,2-12,40.42790571,-79.9489168
2035728178,Frazier Park Basketball Court 1,Basketball (Full),Frazier Park,,Asphalt,2,f,South Oakland,3,4,42003040900,3,4,4,2-11,40.42905068,-79.95421726
621101060,Frick Park Basketball Court 1,Basketball (Full),Frick Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.42991294,-79.91423931
765156102,Frick Park Volleyball Court,Volleyball,Frick Park,,Asphalt,0,f,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.42971969,-79.91411658
2004057547,Frick Park Lawn Bowling Court 1,Lawn Bowling,Frick Park,,Grass,0,f,Point Breeze,9,14,42003981100,3,14,4,3-14,40.44509034,-79.90078929
1752725365,Frick Park Lawn Bowling Court 2,Lawn Bowling,Frick Park,,Grass,0,f,Point Breeze,9,14,42003981100,3,14,4,3-14,40.44493918,-79.90036168
365436801,Frick Park Tennis Court 1,Tennis,Frick Park,,Clay,1,f,Regent Square,5,14,42003141000,3,14,4,2-16,40.437234,-79.89793155
1562820930,Frick Park Tennis Court 2,Tennis,Frick Park,,Clay,0,f,Regent Square,5,14,42003141000,3,14,4,2-16,40.43728518,-79.89773551
1188088789,Frick Park Tennis Court 3,Tennis,Frick Park,,Clay,0,f,Regent Square,5,14,42003141000,3,14,4,2-16,40.43734057,-79.89754367
1392183909,Frick Park Tennis Court 4,Tennis,Frick Park,,Clay,0,f,Regent Square,5,14,42003141000,3,14,4,2-16,40.43739405,-79.89736201
1584378967,Frick Park Tennis Court 5,Tennis,Frick Park,,Clay,0,f,Regent Square,5,14,42003141000,3,14,4,2-16,40.43743945,-79.89718153
1316033169,Frick Park Tennis Court 6,Tennis,Frick Park,,Clay,0,f,Regent Square,5,14,42003141000,3,14,4,2-16,40.43748915,-79.89699582
785877619,Garland Park Basketball Court 1,Basketball (Full),Garland Park,,Asphalt,8,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46410181,-79.92783577
1729241675,Garland Park Handball Court 1,General Sports,Garland Park,,Asphalt,0,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46417116,-79.9273713
55263739,Garland Park Tennis Court 1,Tennis,Garland Park,,Asphalt,0,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46392916,-79.92766746
523280611,Garland Park Tennis Court 2,Tennis,Garland Park,,Asphalt,0,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46387179,-79.92750174
1579038206,Granville Park Basketball Court 1,Basketball (Full),Granville Park,,Asphalt,1,f,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44427079,-79.98288419
1706328465,Hays Park Basketball Court 1,Basketball (Half),Hays Park,,Asphalt,0,f,Hays,5,31,42003562900,3,31,4,4-20,40.38337956,-79.93189066
313316657,Herschel Park Basketball Court 1,Basketball (Full),Herschel Park,,Asphalt,0,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44016199,-80.04377628
163547169,Herschel Park Basketball Court 2,Basketball (Full),Herschel Park,,Asphalt,0,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44005207,-80.04365022
580250703,Herschel Park Hockey Court 1,Hockey,Herschel Park,,Concrete,0,f,Elliott,2,20,42003562600,5,20,6,1-17,40.43980583,-80.04402784
2142639570,Heth's Park Bocce Court 1,Bocce,Heth's Park,,Composite,0,f,Morningside,7,10,42003101400,2,10,5,3-7,40.47829607,-79.92808424
1096014951,Heth's Park Bocce Court 2,Bocce,Heth's Park,,Composite,0,f,Morningside,7,10,42003101400,2,10,5,3-7,40.47829799,-79.9280309
1575940237,Heth's Park Bocce Court 3,Bocce,Heth's Park,,Composite,0,f,Morningside,7,10,42003101400,2,10,5,3-7,40.47829506,-79.92798197
955802589,Heth's Park Hockey Court 1,Hockey,Heth's Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47674628,-79.92765113
1866856476,Heth's Park Tennis Court 1,Tennis,Heth's Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47681744,-79.92789576
1271269929,Highland Park Flynn Parklet Basketball Court 1,Basketball (Half),Highland Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47882888,-79.91881472
63568209,Highland Park Flynn Parklet Basketball Court 2,Basketball (Half),Highland Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.4787627,-79.91863125
1563856270,Highland Park Flynn Parklet Hockey Court 1,Street Hockey,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47865047,-79.91881816
396643617,Highland Park Flynn Parklet Tennis Court 1,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47907801,-79.91868159
85673244,Highland Park Flynn Parklet Tennis Court 2,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003110200,2,11,5,3-9,40.47901523,-79.91849194
877919599,Highland Park Tennis Court 10,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.47421859,-79.91073057
732897941,Highland Park Tennis Court 11,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.47419498,-79.91053098
288613233,Highland Park Tennis Court 12,Tennis,Highland Park,,Asphalt,3,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.47388358,-79.91070852
1840979858,Highland Park Tennis Court 13,Tennis,Highland Park,,Asphalt,0,f,Highland Park,9,11,42003980100,2,11,5,3-9,40.47355293,-79.91084421
1383976072,Highland Park Tennis Court 14,Tennis,Highland Park,,Asphalt,0,f,Highland Park,9,11,42003980100,2,11,5,3-9,40.47353012,-79.91063843
99612239,Highland Park Tennis Court 6,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.47493972,-79.91061682
1296870726,Highland Park Tennis Court 7,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.4749109,-79.91039914
1847157840,Highland Park Tennis Court 8,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.4746035,-79.91066409
426732781,Highland Park Tennis Court 9,Tennis,Highland Park,,Asphalt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.47457523,-79.91045862
1083987615,Highland Park Volleyball Court 1,Volleyball,Highland Park,,Dirt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.48276216,-79.91117124
241798554,Highland Park Volleyball Court 2,Volleyball,Highland Park,,Dirt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.48269336,-79.91133453
1181160308,Highland Park Volleyball Court 3,Volleyball,Highland Park,,Dirt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.48261007,-79.91155319
1654906344,Highland Park Volleyball Court 4,Volleyball,Highland Park,,Dirt,0,f,Highland Park,7,11,42003980100,2,11,5,3-9,40.4825423,-79.91170483
859180905,Jefferson Park Basketball Court 1,Basketball (Full),Jefferson Park,,Asphalt,0,f,Central Northside,6,25,42003250300,1,25,1,1-21,40.45896543,-80.01454508
1695564236,Jefferson Park Basketball Court 2,Basketball (Full),Jefferson Park,,Asphalt,0,f,Central Northside,6,25,42003250300,1,25,1,1-21,40.45899744,-80.01437343
1031896453,Kennard Park Basketball Court 1,Basketball (Full),Kennard Park,,Asphalt,0,f,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44382501,-79.97333243
282394221,Kennard Park Basketball Court 2,Basketball (Full),Kennard Park,,Asphalt,0,f,Terrace Village,6,5,42003051000,3,5,2,2-10,40.4438806,-79.97295941
2033971000,Kennard Park Basketball Court 3,Basketball (Full),Kennard Park,,Asphalt,0,f,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44357151,-79.97337044
1817597365,Kennard Park Basketball Court 4,Basketball (Full),Kennard Park,,Asphalt,0,f,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44361942,-79.97296101
1044767001,Kennard Park Tennis Court 1,Tennis,Kennard Park,,Asphalt,0,f,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44317723,-79.97274661
1682395689,Kite Hill Park Basketball Court 1,Basketball (Full),Kite Hill Park,,Asphalt,0,f,Garfield,9,11,42003111400,2,11,5,3-4,40.46705682,-79.93264793
298460210,Costa Court,Basketball (Full),Larimer Park,,Asphalt,0,f,Larimer,9,12,42003120400,2,12,5,3-12,40.46630947,-79.91251351
623316374,Leister Street Park Basketball Court 1,Basketball (Full),Leister Street Park,,Asphalt,0,f,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46207504,-79.99578401
2103158245,Leolyn Park Basketball Court 1,Basketball (Full),Leolyn Park,,Asphalt,0,f,Carrick,4,29,42003290200,3,29,3,4-12,40.39926888,-79.98576343
2057715253,Leslie Park Basketball Court 1,Basketball (Full),Leslie Park,,Asphalt,0,f,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47286781,-79.95777967
492618246,Lewis Park Basketball Court 1,Basketball (Full),Lewis Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.4130285,-79.9450134
51486336,Lewis Park Basketball Court 2,Basketball (Full),Lewis Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41309377,-79.94478983
1542934063,Lewis Park Dek Hockey Court 1,Hockey,Lewis Park,,Asphalt,0,f,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41276323,-79.94493744
1089773132,Lookout Street Park Basketball Court 1,Basketball (Half),Lookout Street Park,,Asphalt,0,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46940438,-79.97689628
585621285,MaGee Park Basketball Court 1,Basketball (Full),Magee Park,,Asphalt,0,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.4247693,-79.93748236
851192887,MaGee Park Basketball Court 2,Basketball (Full),Magee Park,,Asphalt,0,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.42481298,-79.93731554
100461463,Manchester Park Tennis Court 1,Tennis,Manchester Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45879482,-80.02544998
744871657,Manchester Park Tennis Court 2,Tennis,Manchester Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45873308,-80.02524646
2103437874,Manchester School Park Basketball Court 1,Basketball (Full),Manchester School Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45682807,-80.02578815
390545588,Manchester School Park Basketball Court 2,Basketball (Full),Manchester School Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45640012,-80.02563643
1391623389,Marmaduke Park Dek Hockey Court,Dek Hockey,Marmaduke Park,,Composite,1,f,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.4844943,-80.04304637
1601687125,Marshall-California Park Basketball Court 1,Basketball (Full),Marshall-California Park,,Asphalt,0,f,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46250427,-80.03066847
1380850294,McBride Park Dek Hockey Court,Dek Hockey,McBride Park,,,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.3698823,-79.90738427
490061372,McBride Park Basketball Court 2,Basketball (Full),McBride Park,,Asphalt,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36987644,-79.90727934
1060181153,McBride Park Basketball Court,Basketball (Full),McBride Park,,Concrete,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36982847,-79.90775191
1265117301,McBride Park Tennis Court,Tennis,McBride Park,,Asphalt,0,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36983792,-79.90797826
1797969925,McGonigle Park Basketball Court 1,Basketball (Half),McGonigle Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45978587,-80.06527956
99590297,McGonigle Park Basketball Court 2,Basketball (Full),McGonigle Park,,Asphalt,0,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.45963516,-80.0654184
363349951,McKinley Park Basketball Court 1,Basketball (Full),McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41395536,-80.00352136
1064561630,McKinley Park Basketball Court 2,Basketball (Full),McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41312606,-79.99781731
349033077,McKinley Park Basketball Court 3,Basketball (Full),McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.4132748,-79.99771865
233388008,McKinley Park Sports Court 1,General Sports,McKinley Park,,,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41229165,-80.00234071
558090102,McKinley Park Tennis Court 1,Tennis,McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41232879,-80.00177176
1662033780,McKinley Park Tennis Court 2,Tennis,McKinley Park,,Asphalt,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.4123205,-80.0015541
1130918360,McKinley Park Tennis Court 3,Tennis,McKinley Park,,Astroturf,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41227527,-80.00119135
2088741845,McKinley Park Tennis Court 4,Tennis,McKinley Park,,Astroturf,0,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41224807,-80.0009836
7241493,McKnight Park Basketball Court 2,Basketball (Full),McKnight Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45210525,-80.02222245
1143156742,McKnight Park Sports Court 1,General Sports,McKnight Park,,Asphalt,0,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45227547,-80.0222771
1955580732,Mellon Park Basketball Court 1,Basketball (Full),Mellon Park,,Asphalt,2,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45389621,-79.91637511
1889167375,Mellon Park Basketball Court 2,Basketball (Full),Mellon Park,,Asphalt,0,f,Shadyside,8,7,42003070800,2,7,4,2-17,40.45373084,-79.91633742
924885598,Moore Park Basketball Court 1,Basketball (Full),Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40504914,-80.01467333
534984037,Moore Park Basketball Court 2,Basketball (Half),Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40508907,-80.01445839
2145144790,Moore Park Tennis Court 1,Tennis,Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40569463,-80.01452512
1158213799,Moore Park Tennis Court 2,Tennis,Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40567252,-80.01431804
734208596,Moore Park Tennis Court 3,Tennis,Moore Park,,Asphalt,0,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40565305,-80.01414021
1112957336,Mutual Park Basketball Court 1,Basketball (Half),Mutual Park,,Asphalt,0,f,Sheraden,2,20,42003202200,5,20,6,1-16,40.45203492,-80.06411815
779686783,Niagara Park Basketball Court 1,Basketball (Half),Niagara Park,,Asphalt,0,f,South Oakland,3,4,42003040900,3,4,4,2-10,40.43463232,-79.96029574
449080163,Oakwood Park Basketball Court 1,Basketball (Full),Oakwood Park,,Asphalt,0,f,Oakwood,2,28,42003562800,5,28,6,1-19,40.42644066,-80.06730568
1324077535,Oakwood Park Tennis Court 1,Tennis,Oakwood Park,,Asphalt,0,f,Oakwood,2,28,42003562800,5,28,6,1-19,40.42637191,-80.06644901
