Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Friendship,34,1801.0,258.172423004,604.0,152.200525623,13.0,24.1660919472,8.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,17.0,26.0,0.0,14.1421356237,1.0,10.1980390272,0.0,14.1421356237,1.0,10.1980390272,1.0,10.4403065089,12.0,18.4390889146,2.0,10.7703296143,11.0,18.8679622641,23.0,31.4006369362,106.0,66.0681466366,409.0,130.176802849,1197.0,226.108381092
Garfield,35,3775.0,369.902689906,1037.0,189.612763283,46.0,39.5094925303,22.0,22.9346898823,113.0,56.1159513864,21.0,27.2946881278,28.0,28.4956136976,41.0,29.0516780926,40.0,33.3166624979,51.0,38.170669368,46.0,44.3170396123,104.0,53.1789432012,38.0,31.6385840391,92.0,56.1604843284,47.0,43.1856457634,51.0,28.4956136976,259.0,106.428379674,38.0,28.5306852353,2738.0,293.138192667
Glen Hazel,36,673,213,168,101,12,20,11,24,10,16,0,10,0,10,0,10,11,23,0,10,0,10,0,10,0,10,21,34,23,31,35,57,45,49,0,10,505,162
Greenfield,37,7402.0,674.387129177,1552.0,294.536924681,130.0,65.7419196555,90.0,57.8532626565,20.0,34.0293990543,125.0,102.205674989,20.0,46.5725240887,42.0,60.2411819273,77.0,85.3580693315,33.0,36.4005494464,18.0,33.4813380855,32.0,38.0919939095,55.0,64.0,32.0,42.4499705537,80.0,66.3249575951,107.0,82.5832912882,392.0,136.554018616,299.0,135.683455145,5850.0,513.796652383
Hays,38,376,93,58,33,0,10,0,10,0,10,9,13,0,10,0,10,0,10,19,27,9,13,0,10,6,9,0,10,3,6,6,9,6,9,0,10,318,82
Hazelwood,39,4063.0,608.65261028,1067.0,302.80191545,68.0,65.3528882301,78.0,57.9396237476,47.0,45.4972526642,86.0,52.820450585,83.0,115.191145494,26.0,37.4165738677,44.0,41.6533311993,53.0,53.2165387825,46.0,40.7062648741,87.0,64.8536814682,62.0,47.9478883789,89.0,67.3721010509,29.0,30.6920185065,62.0,61.2698947282,191.0,90.7193474403,16.0,27.2763633939,2996.0,385.733068327
Highland Park,40,6551.0,793.880343628,1806.0,388.16104905,153.0,90.8680361843,107.0,68.3959063102,45.0,45.0888012704,32.0,39.3573373083,132.0,94.7311986624,41.0,50.2891638427,41.0,46.6476151588,46.0,49.5681349256,43.0,36.6060104355,99.0,86.9885049877,51.0,52.9244744897,102.0,85.9418407995,133.0,84.0832920383,11.0,26.7955220139,391.0,157.657857399,379.0,187.811075286,4745.0,558.666268895
Homewood North,41,3055.0,423.023640002,1276.0,283.799224805,145.0,79.2148975888,67.0,47.5499737119,44.0,42.1070065429,91.0,51.2835256199,103.0,67.0373030484,81.0,51.5945733581,67.0,45.2327315116,68.0,53.3853912601,75.0,48.0,57.0,34.7131099154,20.0,23.6643191324,80.0,50.4678115238,11.0,23.3238075794,70.0,59.076221951,275.0,88.5042371866,22.0,35.860842154,1779.0,239.843699104
Homewood South,42,2189.0,303.395781117,588.0,156.473639952,83.0,50.199601592,54.0,40.0249921924,18.0,29.8328677803,18.0,27.5499546279,44.0,34.4963766212,38.0,36.9864840178,29.0,29.7825452237,44.0,32.8785644455,0.0,24.4948974278,28.0,31.2409987036,31.0,30.3644529014,37.0,29.1376045686,15.0,23.1084400167,28.0,25.3771550809,83.0,43.5889894354,38.0,30.0333148354,1601.0,219.408295193
Homewood West,43,816.0,213.037555375,148.0,102.927158709,0.0,14.1421356237,15.0,26.0,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749,17.0,30.6757233004,0.0,14.1421356237,40.0,36.8781778292,23.0,26.9258240357,0.0,14.1421356237,0.0,14.1421356237,25.0,33.5261092285,22.0,33.5261092285,0.0,14.1421356237,668.0,136.780846612
Knoxville,44,3938.0,781.661691526,1372.0,466.227412321,102.0,74.9199572878,67.0,72.8010988928,93.0,78.7972080724,102.0,92.736184955,25.0,34.8998567333,170.0,111.38671375,27.0,33.8526217596,34.0,39.9249295554,143.0,94.408686041,133.0,93.2684298141,99.0,93.0913529819,50.0,37.5898922583,88.0,77.1621668954,33.0,43.2319326425,194.0,120.557040441,12.0,29.3428015023,2566.0,422.384895564
Larimer,45,1588.0,289.043249359,361.0,126.881834791,48.0,49.244289009,12.0,22.2710574513,18.0,24.9799919936,30.0,42.2492603486,37.0,31.384709653,10.0,22.9128784748,24.0,34.6410161514,23.0,22.7815714998,32.0,29.5634909982,17.0,22.2710574513,11.0,14.0356688477,30.0,28.1247222209,24.0,26.4575131106,15.0,20.4450483003,30.0,20.2484567313,0.0,20.0,1227.0,211.515956845
Lincoln Place,46,3368.0,455.960524606,599.0,180.308069703,69.0,57.3498038358,0.0,22.360679775,23.0,32.3419232576,12.0,27.5862284483,22.0,29.0688837075,15.0,24.248711306,26.0,27.6224546339,26.0,29.7321374947,60.0,53.7680202351,94.0,64.9692234831,10.0,25.0,56.0,52.4022900263,24.0,27.946377225,53.0,44.2379927212,78.0,42.4028300942,31.0,30.3973683071,2769.0,386.129511952
Lincoln-Lemington-Belmar,47,4854.0,461.913411799,1417.0,251.739945182,126.0,75.8155656841,43.0,39.686269666,25.0,35.2845575288,117.0,67.3498329619,69.0,71.2881476825,46.0,42.3556371692,47.0,33.3766385365,50.0,43.520110294,23.0,36.4005494464,82.0,44.4522215418,66.0,45.0998891351,33.0,31.8904374382,119.0,77.9230389551,72.0,53.6563137012,403.0,144.371049729,96.0,44.3734154646,3437.0,336.897610559
Lower Lawrenceville,48,2560.0,390.544491704,587.0,306.894118549,0.0,14.1421356237,0.0,14.1421356237,69.0,91.4111590562,0.0,14.1421356237,31.0,47.0744091838,17.0,22.360679775,66.0,60.0083327547,69.0,55.0726792521,45.0,41.8688428309,0.0,14.1421356237,8.0,15.6204993518,0.0,14.1421356237,46.0,48.8466989673,17.0,21.4709105536,79.0,47.3814309619,140.0,98.2344135219,1973.0,253.031618578
Manchester,49,1923.0,255.828067264,399.0,94.0212741883,0.0,14.1421356237,44.0,30.4138126515,0.0,14.1421356237,9.0,19.7230829233,23.0,29.9666481275,9.0,17.2046505341,45.0,33.5261092285,18.0,22.360679775,13.0,18.7882942281,34.0,29.7321374946,10.0,18.8679622641,31.0,31.1448230048,17.0,26.9258240357,17.0,22.803508502,94.0,56.3560112144,35.0,25.7099202644,1524.0,228.790296997
Marshall-Shadeland,50,5912.0,680.569614367,936.0,274.107643089,86.0,52.4499761677,8.0,25.0,16.0,21.9772609759,56.0,45.4862616621,42.0,42.0594816897,5.0,21.9317121995,61.0,45.2769256906,152.0,78.2368199762,27.0,29.0860791445,26.0,29.1376045687,34.0,31.5753068077,34.0,31.496031496,75.0,55.8121850495,79.0,60.0499791841,220.0,108.004629531,15.0,26.2488094968,4976.0,554.618787998
Middle Hill,51,1723.0,281.065828588,318.0,113.951744173,6.0,16.7630546143,15.0,16.7332005307,21.0,26.1533936612,0.0,17.3205080757,19.0,32.2645316098,3.0,15.0,13.0,10.8166538264,18.0,32.2645316098,0.0,17.3205080757,13.0,19.7230829233,9.0,17.3205080757,17.0,24.4948974278,14.0,26.1533936612,67.0,52.6212884677,82.0,48.8466989673,21.0,23.6854385646,1405.0,234.991489207
Morningside,52,3136.0,360.372029991,687.0,171.796391114,30.0,30.1496268634,0.0,20.0,22.0,28.0000000001,21.0,29.5972971739,70.0,50.0199960016,33.0,31.0805405359,21.0,27.3678643668,10.0,22.9128784748,67.0,52.0480547187,19.0,25.4950975679,30.0,29.9499582638,4.0,18.6815416922,8.0,21.0713075057,16.0,30.4138126515,197.0,97.8468190592,139.0,63.6238948824,2449.0,279.152288187
Mount Oliver Borough,53,3288.0,435.786645046,913.0,241.476706951,28.0,33.0151480385,79.0,56.8242905806,17.0,24.3721152139,83.0,63.0,16.0,24.269322199,78.0,55.6506963119,40.0,48.0104155366,66.0,55.7673739744,57.0,72.7323861839,0.0,20.0,97.0,67.6387462923,50.0,41.4366987102,12.0,22.9128784748,104.0,59.5147040655,122.0,65.4293512118,64.0,51.4003891036,2375.0,284.476712579
Mount Washington,54,8525.0,582.931385328,1587.0,247.091076327,65.0,47.1699056603,61.0,44.8887513749,65.0,55.4436651025,44.0,35.3553390594,19.0,35.5668384875,51.0,40.5955662605,59.0,58.3952052826,44.0,41.0731055558,42.0,41.9165838303,2.0,28.7228132327,76.0,46.7546789102,67.0,55.7314991723,79.0,48.7442304278,63.0,41.4849370255,465.0,167.511193655,385.0,123.215258795,6938.0,492.181876952
Mt. Oliver,55,587,137,124,58,7,8,10,15,0,10,0,10,4,6,10,15,0,10,0,10,22,20,15,18,22,24,16,23,4,7,3,5,11,11,0,10,463,98
New Homestead,56,959,103,243,47,10,15,10,14,14,17,15,18,20,18,11,15,8,7,0,10,9,10,32,20,16,16,20,27,21,18,16,14,37,27,4,7,716,75
North Oakland,57,9565.0,623.492582154,7192.0,561.60217236,0.0,24.4948974278,11.0,27.4954541696,34.0,60.2992537268,0.0,24.4948974278,51.0,63.0476010645,18.0,27.4954541697,21.0,28.7054001888,0.0,24.4948974278,0.0,24.4948974278,21.0,66.8505796534,15.0,27.7308492478,4.0,23.1516738056,4.0,23.1516738056,30.0,41.0487515036,6123.0,503.74795285,860.0,219.93635443,2373.0,280.358698813
North Shore,58,205.0,66.7532770731,12.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,12.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,193.0,60.827625303
Northview Heights,59,1454,286,560,201,28,25,57,46,25,18,70,53,36,28,27,32,22,35,36,39,38,27,32,37,10,12,9,12,36,39,9,11,108,75,17,27,894,168
Oakwood,60,1020,129,135,48,17,19,13,19,11,16,16,17,0,10,0,10,12,12,11,12,0,10,6,9,0,10,6,9,0,10,11,13,32,22,0,10,885,104
Overbrook,61,3597.0,324.208266396,750.0,166.315964358,15.0,19.0262975904,51.0,35.6089876295,77.0,51.9807656734,24.0,25.0998007961,43.0,31.3687742827,6.0,18.7082869338,36.0,33.5111921602,41.0,43.0232495286,28.0,21.0475651799,27.0,21.8632111091,49.0,43.8063922276,30.0,27.8567765544,64.0,43.2319326424,50.0,37.8417758569,172.0,90.8515272298,37.0,28.5306852354,2847.0,231.836149037
Perry North,62,3645.0,369.181527165,805.0,173.951142566,64.0,44.6094160464,12.0,30.0,26.0,25.3968501983,20.0,23.8746727726,14.0,26.5706605112,59.0,41.5451561558,78.0,49.0815647673,62.0,54.2770669805,32.0,28.7228132327,27.0,26.1151297144,28.0,33.4365069946,21.0,25.903667694,15.0,25.8650343127,51.0,31.0161248386,217.0,76.7072356431,79.0,37.8021163428,2840.0,277.881269609
Perry South,63,3248.0,423.847850058,849.0,227.145327929,98.0,68.2202316033,70.0,46.4865571967,54.0,47.6445169983,61.0,50.2195181179,57.0,45.8257569496,73.0,59.253691868,1.0,22.7156333832,21.0,28.7228132327,30.0,29.3087017796,28.0,30.1993377411,18.0,32.4037034921,53.0,41.2067955562,59.0,43.1624837098,50.0,45.7165178026,97.0,71.2811335488,79.0,57.6714834212,2399.0,291.623044357
Point Breeze,64,5218.0,319.776484438,1232.0,166.59831932,129.0,61.0819122163,70.0,38.275318418,33.0,28.0891438104,16.0,24.269322199,52.0,33.3166624979,36.0,30.2158898594,13.0,27.5680975042,113.0,57.4195088798,55.0,36.2767142944,45.0,30.2654919008,56.0,31.6069612586,53.0,37.762415177,90.0,50.5865594798,35.0,29.0172362571,176.0,63.1426955395,260.0,77.1103105947,3986.0,252.800316456
Point Breeze North,65,1701.0,248.489436395,308.0,116.159373277,11.0,16.8819430161,21.0,29.3428015023,0.0,17.3205080757,8.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,11.0,22.8910462845,15.0,22.0907220344,0.0,17.3205080757,0.0,17.3205080757,12.0,23.6854385647,0.0,17.3205080757,0.0,17.3205080757,14.0,26.1533936612,88.0,58.9406481132,128.0,69.2675970422,1393.0,202.061871712
Polish Hill,66,1297.0,170.552044843,126.0,40.6078810085,9.0,12.0415945788,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749,0.0,14.1421356237,5.0,12.2065556157,0.0,14.1421356237,2.0,10.7703296143,0.0,14.1421356237,10.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,28.0,20.5182845287,21.0,16.4012194669,38.0,26.1725046566,1171.0,163.835283135
Regent Square,67,1009,102,232,71,9,13,18,16,0,10,13,21,14,16,20,23,18,15,5,9,35,17,11,11,9,11,12,14,6,9,6,9,6,8,50,30,777,73
Ridgemont,68,277,94,31,35,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,20,17,30,246,91
